fileName	sampleID	read	Bacteroidia	Flavobacteriia	Sphingobacteriia	Cytophagia	Clostridia	Bacilli	Erysipelotrichia	Negativicutes	Verrucomicrobiae	Actinobacteria	Spirochaetia	Fusobacteriia	Epsilonproteobacteria	Gammaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Alphaproteobacteria	Chloroplast	Acidobacteria_Gp5	Acidobacteria_Gp4	Synergistia	Mollicutes	Deinococci	Thermotogae	Planctomycetia	Lentisphaeria	Thermoprotei
126_R1.fasta	126	1	16612	3	0	0	27197	5104	2255	0	4113	22	0	0	0	42	192	0	2	2	0	0	0	0	0	0	0	0	0
126_R2.fasta	126	2	16527	3	0	0	27298	5066	2533	1	4116	23	0	0	0	39	187	0	2	2	0	0	0	0	0	0	0	0	0
127_R1.fasta	127	1	12787	0	0	0	4897	6247	1	0	2855	80	0	0	0	49	118	0	4	0	0	0	0	0	0	0	0	0	0
127_R2.fasta	127	2	12626	0	0	0	4915	6246	1	0	2864	79	0	0	0	48	114	0	4	0	0	0	0	0	0	0	0	0	0
128_R1.fasta	128	1	18414	7	1	0	9173	1133	1263	0	1155	43	0	0	0	192	199	0	8	0	0	0	0	0	0	0	0	0	0
128_R2.fasta	128	2	18232	7	2	0	9272	1138	1204	0	1155	43	0	0	0	189	198	0	8	0	0	0	0	0	0	0	0	0	0
129_R1.fasta	129	1	14626	3	1	0	10527	6838	847	3	544	68	0	2	1	475	300	0	5	1	0	0	0	0	0	0	0	0	0
129_R2.fasta	129	2	14454	3	1	0	10494	6819	1125	3	544	67	0	2	1	471	298	0	5	1	0	0	0	0	0	0	0	0	0
130_R1.fasta	130	1	6054	1	0	0	4050	5332	736	5	649	29	0	0	1	1567	93	54	7	0	0	0	0	0	0	0	0	0	0
130_R2.fasta	130	2	5979	1	0	0	4050	5301	835	3	646	28	0	0	1	1555	93	52	7	0	0	0	0	0	0	0	0	0	0
131_R1.fasta	131	1	11403	2	1	0	21564	152	2475	3	1097	11	0	5	1	85	485	0	8	0	0	0	0	0	0	0	0	0	0
131_R2.fasta	131	2	11286	2	1	0	21605	155	2701	3	1100	11	0	5	1	82	478	0	8	0	0	0	0	0	0	0	0	0	0
132_R1.fasta	132	1	17692	8	0	0	10430	3366	1054	0	1688	41	0	2	0	296	234	1	13	0	0	0	0	0	0	0	0	0	0
132_R2.fasta	132	2	17438	8	0	0	10401	3373	1102	1	1695	41	0	2	0	293	228	1	13	0	0	0	0	0	0	0	0	0	1
133_R1.fasta	133	1	12565	0	0	0	7095	5392	35	0	6136	177	0	0	0	60	252	0	0	0	0	0	0	0	0	0	0	0	0
133_R2.fasta	133	2	12370	0	0	0	7070	5337	34	0	6151	169	0	0	0	60	251	0	0	0	0	0	0	0	0	0	0	0	0
134_R1.fasta	134	1	9554	4	4	0	7855	13874	499	0	1682	19	0	0	0	511	385	0	9	0	0	0	0	0	0	0	0	0	0
134_R2.fasta	134	2	9406	4	4	0	7866	13784	659	0	1683	18	0	0	0	506	379	0	9	0	0	0	0	0	0	0	0	0	1
135_R1.fasta	135	1	10158	7	0	0	8545	17793	721	0	1896	23	0	3	0	536	389	0	20	0	0	0	0	0	0	0	0	0	0
135_R2.fasta	135	2	10035	7	0	0	8563	17690	939	0	1894	24	0	3	0	528	386	0	19	0	0	0	0	0	0	0	0	0	0
136_R1.fasta	136	1	17776	5	1	0	9730	1597	861	0	4255	46	0	3	1	672	815	0	35	0	0	0	0	0	0	0	0	0	0
136_R2.fasta	136	2	17558	5	1	0	9732	1600	914	0	4233	47	0	3	1	668	796	0	31	0	0	0	0	0	0	0	0	0	0
137_R1.fasta	137	1	25645	0	6	0	18539	4976	16	0	5183	555	0	8	0	639	2201	2	122	0	0	0	0	0	0	0	0	0	0
137_R2.fasta	137	2	25310	0	6	0	18594	4948	18	0	5188	533	0	8	0	628	2173	2	111	0	0	0	0	0	0	0	0	0	0
138_R1.fasta	138	1	13120	9	1	0	23989	6375	1373	2	3777	160	0	7	2	566	2743	0	102	15	0	0	0	0	0	0	0	0	0
138_R2.fasta	138	2	13033	9	1	0	24175	6352	1732	2	3781	159	0	7	2	549	2720	0	99	10	0	0	0	0	0	0	0	0	0
139_R1.fasta	139	1	16872	14	4	0	28396	5215	2436	0	1884	87	0	1	0	859	4872	1	60	0	0	0	0	0	0	0	0	0	0
139_R2.fasta	139	2	16748	14	4	0	29041	5201	3295	0	1882	87	0	1	0	845	4783	1	59	0	0	0	0	0	0	0	0	0	1
140_R1.fasta	140	1	13672	7	3	0	9995	92	1466	0	641	7	0	0	0	304	1072	0	45	3	0	0	0	0	0	0	0	0	0
