fileName	sampleID	read	Rikenellaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Bacteroidales_incertae_sedis	Flavobacteriaceae	Sphingobacteriaceae	Chitinophagaceae	Cyclobacteriaceae	Cytophagaceae	Lachnospiraceae	Clostridiaceae.1	Peptostreptococcaceae	Ruminococcaceae	Eubacteriaceae	Clostridiales_Incertae.Sedis.XI	Peptococcaceae.1	Clostridiales_Incertae.Sedis.XIII	Clostridiales_Incertae.Sedis.XII	Defluviitaleaceae	Streptococcaceae	Enterococcaceae	Carnobacteriaceae	Lactobacillaceae	Aerococcaceae	Bacillales_Incertae.Sedis.XI	Paenibacillaceae.1	Staphylococcaceae	Bacillaceae.1	Planococcaceae	Bacillales_Incertae.Sedis.XII	Bacillaceae.2	Erysipelotrichaceae	Veillonellaceae	Acidaminococcaceae	Verrucomicrobiaceae	Coriobacteriaceae	Corynebacteriaceae	Nocardiaceae	Actinomycetaceae	Micrococcaceae	Microbacteriaceae	Brevibacteriaceae	Dermacoccaceae	Intrasporangiaceae	Dermabacteraceae	Propionibacteriaceae	Nocardioidaceae	Pseudonocardiaceae	Geodermatophilaceae	Bifidobacteriaceae	Patulibacteraceae	Nitriliruptoraceae	Spirochaetaceae	Fusobacteriaceae	Leptotrichiaceae	Campylobacteraceae	Pasteurellaceae	Enterobacteriaceae	Halomonadaceae	Oceanospirillaceae	Cardiobacteriaceae	Pseudomonadaceae	Moraxellaceae	Vibrionaceae	Xanthomonadaceae	Idiomarinaceae	Shewanellaceae	Chromatiaceae	Aeromonadaceae	Coxiellaceae	Neisseriaceae	Burkholderiaceae	Oxalobacteraceae	Comamonadaceae	Sutterellaceae	Burkholderiales_incertae_sedis	Alcaligenaceae	Methylophilaceae	Desulfovibrionaceae	Bdellovibrionaceae	Bacteriovoracaceae	Myxococcaceae	Polyangiaceae	Desulfobulbaceae	Sphingomonadaceae	Erythrobacteraceae	Methylobacteriaceae	Phyllobacteriaceae	Bradyrhizobiaceae	Hyphomicrobiaceae	Brucellaceae	Rhizobiaceae	Beijerinckiaceae	Rhizobiales_incertae_sedis	Caulobacteraceae	Rhodobacteraceae	Rhodospirillaceae	Acetobacteraceae	Chloroplast	Synergistaceae	Mycoplasmataceae	Deinococcaceae	Thermotogaceae	Planctomycetaceae	Victivallaceae	Pyrodictiaceae
126_R1.fasta	126	1	1280	7596	7693	0	0	3	0	0	0	0	20620	2135	1670	811	101	0	0	0	0	0	4718	358	5	0	0	1	0	0	0	0	0	0	2255	0	0	4113	20	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	10	2	0	4	0	0	0	0	0	0	0	169	23	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
126_R2.fasta	126	2	1295	7088	7655	0	0	3	0	0	0	0	21948	2074	1527	954	96	0	0	0	0	0	3580	270	4	0	0	1	0	0	0	0	0	0	2533	0	0	4116	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	14	2	0	4	0	0	0	0	0	0	0	163	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
127_R1.fasta	127	1	0	12748	1	0	0	0	0	0	0	0	2347	368	1660	18	0	0	0	2	0	0	4664	1447	2	0	0	0	93	0	0	0	0	0	1	0	0	2855	57	0	1	0	0	2	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	1	5	0	0	7	0	0	18	0	0	0	0	0	2	2	102	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
127_R2.fasta	127	2	0	12057	0	0	0	0	0	0	0	0	2360	372	1974	18	0	0	0	0	0	0	3704	1128	3	0	0	0	82	0	0	0	0	0	1	0	0	2864	56	0	0	0	0	1	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	17	0	0	7	0	0	17	0	0	0	0	0	2	2	99	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
128_R1.fasta	128	1	60	16465	1764	0	0	7	0	1	0	0	6774	0	9	1761	46	0	0	0	0	0	351	752	13	0	0	0	0	0	0	0	0	0	1263	0	0	1155	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	17	0	0	18	0	0	4	1	0	0	0	0	3	0	167	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
128_R2.fasta	128	2	59	15619	1729	0	0	7	0	2	0	0	7270	0	9	1780	45	0	0	0	0	0	287	589	13	0	0	0	0	0	0	0	0	0	1204	0	0	1155	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	26	0	0	18	0	0	4	1	0	0	0	0	2	0	168	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
129_R1.fasta	129	1	19	12728	1768	2	0	3	1	0	0	0	9334	157	355	465	122	0	0	0	0	0	6559	230	10	0	0	0	0	0	0	0	0	0	847	3	0	544	65	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	420	22	0	0	11	0	0	0	1	0	0	0	0	2	0	248	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
129_R2.fasta	129	2	20	11798	1748	2	0	3	1	0	0	0	9365	127	330	416	124	0	0	0	0	0	5271	154	10	0	0	0	0	0	0	0	0	0	1125	3	0	544	64	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	414	31	0	0	11	0	0	0	1	0	0	0	0	2	0	246	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
130_R1.fasta	130	1	39	4795	1174	0	0	1	0	0	0	0	3355	4	481	106	42	0	0	0	0	0	5086	215	5	0	0	0	0	0	0	0	0	0	736	5	0	649	23	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1548	6	0	0	6	0	0	5	0	0	0	0	0	0	0	81	11	0	0	0	0	54	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130_R2.fasta	130	2	39	4501	1166	0	0	1	0	0	0	0	3408	5	456	107	42	0	0	0	0	0	4183	165	5	0	0	0	0	0	0	0	0	0	835	3	0	646	26	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1529	6	0	0	6	0	0	5	0	0	0	0	0	0	0	80	12	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
