fileName	sampleID	read	Bacteroidales	Flavobacteriales	Sphingobacteriales	Cytophagales	Clostridiales	Lactobacillales	Bacillales	Erysipelotrichales	Selenomonadales	Verrucomicrobiales	Coriobacteriales	Actinomycetales	Bifidobacteriales	Solirubrobacterales	Nitriliruptorales	Spirochaetales	Fusobacteriales	Campylobacterales	Pasteurellales	Enterobacteriales	Oceanospirillales	Cardiobacteriales	Pseudomonadales	Vibrionales	Xanthomonadales	Alteromonadales	Chromatiales	Aeromonadales	Legionellales	Neisseriales	Burkholderiales	Methylophilales	Desulfovibrionales	Bdellovibrionales	Myxococcales	Desulfobacterales	Sphingomonadales	Rhizobiales	Caulobacterales	Rhodobacterales	Rhodospirillales	Synergistales	Mycoplasmatales	Deinococcales	Thermotogales	Planctomycetales	Victivallales	Desulfurococcales
126_R1.fasta	126	1	16612	3	0	0	27182	5098	1	2255	0	4113	20	2	0	0	0	0	0	0	1	0	21	0	12	0	4	0	0	0	0	0	192	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
126_R2.fasta	126	2	16527	3	0	0	27284	5023	1	2533	1	4116	21	2	0	0	0	0	0	0	1	0	15	0	16	0	4	0	0	0	0	0	186	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
127_R1.fasta	127	1	12787	0	0	0	4897	6145	93	1	0	2855	57	4	19	0	0	0	0	0	0	1	23	0	7	0	18	0	0	0	0	2	115	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
127_R2.fasta	127	2	12626	0	0	0	4912	6116	86	1	0	2864	56	4	18	0	0	0	0	0	0	1	17	0	7	0	17	0	0	0	0	2	112	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
128_R1.fasta	128	1	18414	7	1	0	9165	1130	0	1263	0	1155	37	0	0	0	0	0	0	0	0	135	32	0	18	0	4	1	0	0	0	3	195	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0
128_R2.fasta	128	2	18232	7	2	0	9264	1131	0	1204	0	1155	43	0	0	0	0	0	0	0	0	134	26	0	18	0	4	1	0	0	0	2	196	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0
129_R1.fasta	129	1	14626	3	1	0	10527	6834	0	847	3	544	65	2	0	0	0	0	2	1	0	420	42	0	11	0	0	1	0	0	0	2	297	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
129_R2.fasta	129	2	14454	3	1	0	10489	6768	0	1125	3	544	64	3	0	0	0	0	2	1	0	414	36	0	12	0	0	1	0	0	0	2	296	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
130_R1.fasta	130	1	6054	1	0	0	4047	5332	0	736	5	649	23	3	0	0	0	0	0	1	0	1548	7	0	6	0	5	0	0	0	0	0	93	0	54	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
130_R2.fasta	130	2	5979	1	0	0	4050	5266	0	835	3	646	26	2	0	0	0	0	0	1	0	1529	6	0	6	0	5	0	0	0	0	0	92	0	52	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
131_R1.fasta	131	1	11403	2	1	0	21550	152	0	2475	3	1097	6	5	0	0	0	0	5	1	0	3	53	0	13	0	13	2	0	0	0	2	481	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0
131_R2.fasta	131	2	11286	2	1	0	21600	153	0	2701	3	1100	6	5	0	0	0	0	5	1	0	2	42	0	12	0	13	1	0	0	0	2	474	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0
132_R1.fasta	132	1	17692	8	0	0	10425	3361	2	1054	0	1688	32	2	3	0	0	0	2	0	0	247	29	0	16	0	3	1	0	0	0	0	234	0	0	1	0	0	0	2	11	0	0	0	0	0	0	0	0	0
132_R2.fasta	132	2	17438	8	0	0	10397	3342	2	1102	1	1695	35	2	3	0	0	0	2	0	0	241	25	0	16	0	3	1	0	0	0	0	226	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0
133_R1.fasta	133	1	12565	0	0	0	7092	5384	3	35	0	6136	27	15	135	0	0	0	0	0	5	0	22	0	21	0	8	3	0	0	0	2	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133_R2.fasta	133	2	12370	0	0	0	7068	5278	3	34	0	6151	26	15	105	0	0	0	0	0	5	0	20	0	19	0	8	3	0	0	0	2	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134_R1.fasta	134	1	9554	4	4	0	7854	13863	0	499	0	1682	18	1	0	0	0	0	0	0	0	434	28	0	34	0	11	1	0	0	0	0	384	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0
134_R2.fasta	134	2	9406	4	4	0	7863	13679	0	659	0	1683	17	1	0	0	0	0	0	0	0	426	23	0	36	0	10	1	0	0	0	0	377	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0
135_R1.fasta	135	1	10158	7	0	0	8541	17776	0	721	0	1896	10	13	0	0	0	0	3	0	1	405	57	0	31	0	29	3	0	0	0	7	381	0	0	0	0	0	1	7	12	0	0	0	0	0	0	0	0	0
135_R2.fasta	135	2	10035	7	0	0	8562	17546	0	939	0	1894	10	14	0	0	0	0	3	0	0	402	49	0	34	0	28	3	0	0	0	7	377	0	0	0	0	0	1	7	11	0	0	0	0	0	0	0	0	0
136_R1.fasta	136	1	17776	5	1	0	9726	1594	0	861	0	4255	16	30	0	0	0	0	3	1	0	452	93	0	62	0	54	6	0	0	0	9	803	0	0	0	0	0	1	14	20	0	0	0	0	0	0	0	0	0
136_R2.fasta	136	2	17558	5	1	0	9729	1588	0	914	0	4233	17	29	0	0	0	0	3	1	0	450	81	0	64	0	50	5	0	0	0	8	782	0	0	0	0	0	1	11	19	0	0	0	0	0	0	0	0	0
137_R1.fasta	137	1	25645	0	6	0	18530	4972	0	16	0	5183	214	72	269	0	0	0	8	0	0	29	334	0	130	0	124	10	0	0	0	13	2182	0	1	1	0	0	34	78	9	0	0	0	0	0	0	0	0	0
137_R2.fasta	137	2	25310	0	6	0	18587	4906	0	18	0	5188	214	71	207	0	0	0	8	0	0	27	292	0	131	0	119	11	0	0	0	12	2145	0	1	1	0	0	33	68	9	0	0	0	0	0	0	0	0	0
138_R1.fasta	138	1	13120	9	1	0	23972	6357	14	1373	2	3777	136	24	0	0	0	0	7	2	0	10	341	0	132	0	47	24	0	0	0	15	2724	0	0	0	0	0	14	29	57	0	0	0	0	0	0	0	0	0
138_R2.fasta	138	2	13033	9	1	0	24167	6285	15	1732	2	3781	135	22	0	0	0	0	7	2	0	9	294	0	133	0	44	25	0	0	0	15	2698	0	0	0	0	0	14	26	58	0	0	0	0	0	0	0	0	0
139_R1.fasta	139	1	16872	14	4	0	28380	5202	3	2436	0	1884	78	9	0	0	0	0	1	0	0	23	417	0	293	0	32	67	0	0	0	20	4834	0	0	1	0	0	5	2	35	0	0	0	0	0	0	0	0	0
139_R2.fasta	139	2	16748	14	4	0	29031	5157	2	3295	0	1882	78	9	0	0	0	0	1	0	0	21	356	0	301	0	30	71	0	0	0	20	4746	0	0	1	0	0	5	16	33	0	0	0	0	0	0	0	0	0
140_R1.fasta	140	1	13672	7	3	0	9994	92	0	1466	0	641	5	2	0	0	0	0	0	0	1	116	85	0	82	0	0	13	0	0	0	7	1064	0	0	0	0	0	25	1	18	0	0	0	0	0	0	0	0	0
140_R2.fasta	140	2	13524	8	1	0	9984	92	0	1426	0	640	5	2	0	0	0	0	0	0	1	117	74	0	85	0	0	12	0	0	0	7	1055	0	0	0	0	0	23	0	17	0	0	0	0	0	0	0	0	0
141_R1.fasta	141	1	17635	10	1	0	11433	269	0	1421	0	647	36	19	0	0	0	0	0	0	0	229	102	0	56	0	6	7	0	0	0	3	1097	0	0	9	0	0	0	3	8	0	0	0	0	0	0	0	0	0
141_R2.fasta	141	2	17471	9	1	0	11443	265	0	1444	0	649	36	18	0	0	0	0	0	0	0	226	89	0	60	0	6	7	0	0	0	3	1077	0	0	9	0	0	0	3	9	0	0	0	0	0	0	0	0	0
142_R1.fasta	142	1	19793	0	4	0	11359	1686	14	1811	0	856	15	22	0	0	0	0	0	0	0	142	279	0	137	0	1	2	0	0	0	9	2255	0	1	14	0	0	12	8	25	0	0	0	0	0	0	0	0	0
142_R2.fasta	142	2	19561	0	4	0	11383	1674	14	1840	0	854	16	22	0	0	0	0	0	0	0	139	239	0	143	0	0	2	0	0	0	9	2219	0	0	14	0	0	12	8	25	0	0	0	0	0	0	0	0	0
143_R1.fasta	143	1	30118	26	0	0	13235	366	0	2047	0	905	22	12	0	0	0	0	0	0	0	108	367	0	174	0	3	23	0	0	0	0	2935	0	0	0	0	0	0	4	25	0	0	0	0	0	0	0	0	0
143_R2.fasta	143	2	29771	26	0	0	13573	362	0	2076	0	908	23	12	0	0	0	0	0	0	0	106	313	0	171	0	3	25	0	0	0	0	2888	0	0	0	0	0	0	4	24	0	0	0	0	0	0	0	0	0
144_R1.fasta	144	1	8338	14	8	0	5205	8346	0	689	0	781	35	30	0	0	0	0	0	0	0	2990	375	0	100	0	84	14	0	0	0	6	3045	0	92	1	0	0	28	73	11	0	0	0	0	0	0	0	0	0
144_R2.fasta	144	2	8240	19	8	0	5196	8309	0	832	0	781	35	30	0	0	0	0	0	0	0	2933	321	0	99	0	83	15	0	0	0	6	3005	0	92	1	0	0	27	72	11	0	0	0	0	0	0	0	0	0
145_R1.fasta	145	1	13812	13	26	0	12419	2812	51	1752	0	1232	154	14	0	0	0	0	2	0	1	68	214	0	108	0	22	6	0	0	0	11	2096	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0
145_R2.fasta	145	2	13582	14	26	0	12366	2796	48	1769	0	1233	156	13	0	0	0	0	2	0	1	65	193	0	108	0	18	8	0	0	0	11	2065	0	0	0	0	0	0	17	8	0	0	0	0	0	0	0	0	0
146_R1.fasta	146	1	11109	29	18	0	21682	3378	1	2117	0	1005	124	14	0	1	0	0	0	0	0	7	693	0	406	0	70	47	0	0	0	47	6411	0	0	0	8	0	0	73	116	0	0	0	0	0	0	0	0	0
146_R2.fasta	146	2	10884	29	16	0	22531	3336	2	2736	0	1009	125	13	0	1	0	0	0	0	0	5	590	0	415	0	68	42	0	0	0	45	6319	0	0	0	8	0	0	70	115	0	0	0	0	0	0	0	0	0
147_R1.fasta	147	1	16577	16	22	0	12911	736	0	1090	0	6790	92	20	0	0	0	0	0	0	2	100	157	0	135	0	25	18	0	0	0	13	2341	0	0	0	0	0	20	23	18	0	0	0	0	0	0	0	0	0
147_R2.fasta	147	2	16291	15	22	0	12941	734	0	1432	0	6776	92	18	0	0	0	0	0	0	1	99	134	0	134	0	23	19	0	0	0	13	2314	0	0	0	0	0	20	24	18	0	0	0	0	0	0	0	0	0
148_R1.fasta	148	1	16521	2	0	0	14650	10336	1	1681	0	4430	39	47	0	0	0	0	0	0	1	257	152	0	75	0	21	0	0	0	0	0	1112	0	264	0	0	0	2	4	14	0	0	0	0	0	0	0	0	0
