fileName	sampleID	read	Bacteroidetes	Firmicutes	Verrucomicrobia	Actinobacteria	Spirochaetes	Fusobacteria	Proteobacteria	Cyanobacteria.Chloroplast	Acidobacteria	Synergistetes	Tenericutes	Candidatus.Saccharibacteria	Deinococcus.Thermus	Thermotogae	SR1	Parcubacteria	Planctomycetes	Microgenomates	Lentisphaerae	Crenarchaeota
126_R1.fasta	126	1	16670	34818	4113	22	0	0	237	2	0	0	0	0	0	0	0	0	0	0	0	0
126_R2.fasta	126	2	16646	35424	4116	23	0	0	229	2	1	0	0	0	0	0	0	0	0	0	0	0
127_R1.fasta	127	1	12807	11173	2855	80	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0
127_R2.fasta	127	2	12799	11215	2864	79	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0
128_R1.fasta	128	1	18469	11737	1155	43	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0
128_R2.fasta	128	2	18436	11758	1155	43	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0
129_R1.fasta	129	1	14671	18338	544	68	0	2	781	1	0	0	0	0	0	0	0	0	0	0	0	0
129_R2.fasta	129	2	14626	18565	544	68	0	2	776	1	0	0	0	0	0	0	0	0	0	0	0	0
130_R1.fasta	130	1	6072	10243	649	29	0	0	1723	0	0	0	0	0	0	0	0	0	0	0	0	0
130_R2.fasta	130	2	6046	10334	646	28	0	0	1715	0	1	0	0	0	0	0	0	0	0	0	0	0
131_R1.fasta	131	1	11454	24358	1097	11	0	5	579	0	0	0	0	1	0	0	0	0	0	0	0	0
131_R2.fasta	131	2	11402	24733	1100	11	0	5	570	0	1	0	0	1	0	0	0	0	0	0	0	0
132_R1.fasta	132	1	17753	14907	1689	41	0	2	544	0	0	0	0	3	0	0	0	0	0	0	0	0
132_R2.fasta	132	2	17678	14946	1695	41	0	2	538	0	0	0	0	2	0	0	0	0	0	0	0	1
133_R1.fasta	133	1	12589	12555	6136	177	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0
133_R2.fasta	133	2	12566	12525	6152	169	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0
134_R1.fasta	134	1	9582	22337	1682	19	0	0	905	0	0	0	0	0	0	0	0	0	0	0	0	0
134_R2.fasta	134	2	9535	22530	1683	18	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	1
135_R1.fasta	135	1	10192	27195	1896	23	0	3	946	0	0	0	0	0	0	0	0	0	0	0	0	0
135_R2.fasta	135	2	10150	27455	1894	24	0	3	939	0	0	0	0	0	0	0	0	0	0	0	0	0
136_R1.fasta	136	1	17856	12253	4255	46	0	3	1526	0	0	0	0	0	0	0	0	0	0	0	0	0
136_R2.fasta	136	2	17780	12370	4233	47	0	3	1507	0	0	0	0	0	0	0	0	0	0	0	0	0
137_R1.fasta	137	1	25736	23588	5185	555	0	8	2965	0	0	0	0	0	0	0	0	0	0	0	0	0
