fileName	sampleID	read	Bacteroidia	Flavobacteriia	Sphingobacteriia	Cytophagia	Clostridia	Bacilli	Erysipelotrichia	Negativicutes	Verrucomicrobiae	Actinobacteria	Spirochaetia	Fusobacteriia	Epsilonproteobacteria	Gammaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Alphaproteobacteria	Chloroplast	Acidobacteria_Gp5	Acidobacteria_Gp4	Synergistia	Mollicutes	Deinococci	Thermotogae	Planctomycetia	Lentisphaeria	Thermoprotei
100_R1.fasta	100	1	13232	1	0	0	28648	2309	2482	3	2804	39	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100_R2.fasta	100	2	13091	0	0	0	28940	2298	3003	3	2807	39	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R1.fasta	101	1	13914	1	0	0	29745	3512	2278	2	3332	57	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R2.fasta	101	2	13794	1	0	0	29943	3521	2892	2	3346	56	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
102_R1.fasta	102	1	17167	0	0	0	23393	1356	5436	2	3172	57	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
102_R2.fasta	102	2	17004	0	0	0	23388	1364	6399	1	3183	56	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
103_R1.fasta	103	1	18659	0	0	0	21688	5851	2511	0	4545	66	0	2	0	1028	1	0	0	2	0	0	0	0	0	0	0	0	0
103_R2.fasta	103	2	18484	0	0	0	21687	5861	2888	0	4561	61	0	2	0	1018	1	0	0	2	0	0	0	0	0	0	0	0	0
104_R1.fasta	104	1	22210	0	0	0	18914	6821	2417	0	3701	22	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	0
104_R2.fasta	104	2	21930	0	0	0	18905	6804	2701	0	3728	20	0	0	0	802	0	0	0	0	0	0	0	0	0	0	0	0	1
105_R1.fasta	105	1	4898	0	0	0	16100	21782	971	0	2	0	0	0	0	2707	1	0	0	0	0	0	0	0	0	0	0	0	0
105_R2.fasta	105	2	4808	0	0	0	16160	21673	970	0	1	0	0	0	0	2700	1	0	0	0	0	0	0	0	0	0	0	0	1
106_R1.fasta	106	1	0	1	2	0	6	2	1	0	0	2	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
106_R2.fasta	106	2	0	1	2	0	0	2	0	0	0	1	0	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
107_R1.fasta	107	1	16635	0	0	0	9447	9715	2540	0	2286	69	0	0	1	196	0	220	0	0	0	0	0	0	0	0	0	0	0
107_R2.fasta	107	2	16461	0	0	0	9481	9697	2677	0	2280	69	0	0	1	197	0	217	0	0	0	0	0	0	0	0	0	0	0
108_R1.fasta	108	1	21268	0	0	0	16895	8077	2612	0	2631	131	0	0	0	575	0	183	0	0	0	0	0	0	0	0	0	0	0
108_R2.fasta	108	2	21049	0	0	0	16920	8081	3164	0	2621	130	0	0	0	575	0	181	0	0	0	0	0	0	0	0	0	0	0
109_R1.fasta	109	1	14413	0	0	0	15269	17824	3071	0	1572	125	0	0	0	1509	0	133	0	0	0	0	0	0	0	0	0	0	0
109_R2.fasta	109	2	14260	0	0	0	15256	17774	3294	0	1567	124	0	0	0	1497	0	135	0	0	0	0	0	0	0	0	0	0	1
10_R1.fasta	10	1	12797	6	0	0	25889	2025	2806	3	3688	20	0	13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10_R2.fasta	10	2	12574	6	0	0	26055	2024	2809	3	3696	20	0	13	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
110_R1.fasta	110	1	19186	0	0	0	11066	10250	88	1	5165	163	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
110_R2.fasta	110	2	18869	0	0	0	11069	10144	86	1	5169	157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
111_R1.fasta	111	1	12830	0	0	0	15037	13852	22	0	7976	291	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0
111_R2.fasta	111	2	12576	0	0	0	15058	13712	23	0	7975	273	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	2
112_R1.fasta	112	1	20984	1	0	0	9782	10637	48	1	7597	231	0	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0
