fileName	sampleID	read	Bacteroidetes	Firmicutes	Verrucomicrobia	Actinobacteria	Spirochaetes	Fusobacteria	Proteobacteria	Cyanobacteria/Chloroplast	Acidobacteria	Synergistetes	Tenericutes	Candidatus Saccharibacteria	Deinococcus-Thermus	Thermotogae	SR1	Parcubacteria	Planctomycetes	Microgenomates	Lentisphaerae	Crenarchaeota
100_R1.fasta	100	1	13274	33595	2805	39	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
100_R2.fasta	100	2	13209	34555	2807	39	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R1.fasta	101	1	13948	35790	3334	57	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R2.fasta	101	2	13892	36646	3346	56	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
102_R1.fasta	102	1	17210	30354	3173	57	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
102_R2.fasta	102	2	17169	31444	3183	56	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
103_R1.fasta	103	1	18739	30291	4547	66	0	2	1029	2	0	0	0	0	0	0	0	0	0	0	0	0
103_R2.fasta	103	2	18678	30735	4561	61	0	2	1023	2	1	0	0	0	0	0	0	0	0	0	0	0
104_R1.fasta	104	1	22269	28255	3701	22	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	0
104_R2.fasta	104	2	22162	28715	3729	20	0	0	803	0	0	0	0	0	0	0	0	0	0	0	0	1
105_R1.fasta	105	1	4908	39112	2	0	0	0	2713	0	0	0	0	0	0	0	0	0	0	0	0	0
105_R2.fasta	105	2	4870	39169	2	0	0	0	2709	0	0	0	0	0	0	0	0	0	0	0	0	1
106_R1.fasta	106	1	3	9	0	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
106_R2.fasta	106	2	3	2	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
107_R1.fasta	107	1	16678	21951	2286	69	0	0	417	0	0	0	0	0	0	0	0	0	0	0	0	0
107_R2.fasta	107	2	16627	22366	2281	69	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	0
108_R1.fasta	108	1	21331	28103	2631	131	0	0	758	0	0	0	0	0	0	0	0	0	0	0	0	0
108_R2.fasta	108	2	21261	28666	2621	130	0	0	757	0	0	0	0	0	0	0	0	0	0	0	0	0
109_R1.fasta	109	1	14449	36579	1572	125	0	0	1643	0	0	0	0	0	0	0	0	0	0	0	0	0
109_R2.fasta	109	2	14404	37012	1567	124	0	0	1637	0	0	0	0	0	0	0	0	0	0	0	0	1
10_R1.fasta	10	1	12832	30852	3688	20	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0
10_R2.fasta	10	2	12784	31064	3696	20	0	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0
110_R1.fasta	110	1	19228	21465	5165	163	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
110_R2.fasta	110	2	19197	21465	5169	157	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
111_R1.fasta	111	1	12858	28990	7977	291	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
111_R2.fasta	111	2	12812	29013	7975	273	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	2
112_R1.fasta	112	1	21026	20523	7597	231	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
112_R2.fasta	112	2	20969	20568	7607	222	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0
113_R1.fasta	113	1	14402	22941	62	177	0	301	1853	0	0	53	43	0	0	0	0	0	0	0	0	0
113_R2.fasta	113	2	14299	22926	64	174	0	303	1779	0	1	52	44	0	0	0	0	0	0	0	0	1
114_R1.fasta	114	1	4	12	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
114_R2.fasta	114	2	2	13	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
115_R1.fasta	115	1	20406	22379	2120	20	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0
115_R2.fasta	115	2	20302	22571	2124	20	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0
116_R1.fasta	116	1	20706	17260	4191	34	0	1	4945	0	0	0	0	0	0	0	0	0	0	0	0	0
116_R2.fasta	116	2	20632	17556	4177	34	0	1	4903	0	0	0	0	0	0	0	0	0	0	0	0	0
117_R1.fasta	117	1	36047	22024	1814	41	0	2	282	0	0	0	0	0	0	0	0	0	0	0	0	0
117_R2.fasta	117	2	35966	22357	1820	39	0	2	277	0	1	0	0	0	0	0	0	0	0	0	0	1
118_R1.fasta	118	1	23022	15369	1906	27	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0
118_R2.fasta	118	2	22991	15577	1893	27	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0
119_R1.fasta	119	1	15815	34355	4	91	0	77	731	0	0	5	0	1	0	0	0	0	0	0	0	0
119_R2.fasta	119	2	15768	34292	4	89	0	79	725	0	0	5	0	1	0	0	0	0	0	0	0	0
11_R1.fasta	11	1	17018	20743	2059	15	0	7	414	0	0	0	0	0	0	0	0	0	0	0	0	0
11_R2.fasta	11	2	16957	21075	2039	14	0	6	406	0	1	0	0	0	0	0	0	0	0	0	0	0
120_R1.fasta	120	1	13330	38838	1793	33	0	0	872	0	0	0	0	0	0	0	0	0	0	0	0	0
120_R2.fasta	120	2	13322	39193	1804	32	0	0	863	0	2	0	0	0	0	0	0	0	0	0	0	0
121_R1.fasta	121	1	20314	27449	2399	13	0	0	303	0	0	0	0	0	0	0	0	0	0	0	0	0
