fileName	sampleID	read	Bacteroidales	Flavobacteriales	Sphingobacteriales	Cytophagales	Clostridiales	Lactobacillales	Bacillales	Erysipelotrichales	Selenomonadales	Verrucomicrobiales	Coriobacteriales	Actinomycetales	Bifidobacteriales	Solirubrobacterales	Nitriliruptorales	Spirochaetales	Fusobacteriales	Campylobacterales	Pasteurellales	Enterobacteriales	Oceanospirillales	Cardiobacteriales	Pseudomonadales	Vibrionales	Xanthomonadales	Alteromonadales	Chromatiales	Aeromonadales	Legionellales	Neisseriales	Burkholderiales	Methylophilales	Desulfovibrionales	Bdellovibrionales	Myxococcales	Desulfobacterales	Sphingomonadales	Rhizobiales	Caulobacterales	Rhodobacterales	Rhodospirillales	Synergistales	Mycoplasmatales	Deinococcales	Thermotogales	Planctomycetales	Victivallales	Desulfurococcales
100_R1.fasta	100	1	13232	1	0	0	28614	2308	0	2482	3	2804	33	6	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100_R2.fasta	100	2	13091	0	0	0	28928	2279	0	3003	3	2807	33	6	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R1.fasta	101	1	13914	1	0	0	29710	3511	0	2278	2	3332	52	5	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101_R2.fasta	101	2	13794	1	0	0	29926	3484	0	2892	2	3346	51	3	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102_R1.fasta	102	1	17167	0	0	0	23365	1353	1	5436	2	3172	56	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102_R2.fasta	102	2	17004	0	0	0	23382	1349	1	6399	1	3183	55	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103_R1.fasta	103	1	18659	0	0	0	21683	5846	1	2511	0	4545	51	4	11	0	0	0	2	0	2	1026	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103_R2.fasta	103	2	18484	0	0	0	21680	5818	1	2888	0	4561	49	3	4	0	0	0	2	0	2	1009	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104_R1.fasta	104	1	22210	0	0	0	18907	6814	0	2417	0	3701	22	0	0	0	0	0	0	0	0	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104_R2.fasta	104	2	21930	0	0	0	18904	6751	0	2701	0	3728	20	0	0	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105_R1.fasta	105	1	4898	0	0	0	16093	21768	0	971	0	2	0	0	0	0	0	0	0	0	0	2706	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105_R2.fasta	105	2	4808	0	0	0	16139	21520	0	970	0	1	0	0	0	0	0	0	0	0	0	2678	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107_R1.fasta	107	1	16635	0	0	0	9440	9710	0	2540	0	2286	68	0	0	0	0	0	0	1	0	196	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107_R2.fasta	107	2	16461	0	0	0	9470	9649	0	2677	0	2280	69	0	0	0	0	0	0	1	0	194	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108_R1.fasta	108	1	21268	0	0	0	16883	8069	0	2612	0	2631	128	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108_R2.fasta	108	2	21049	0	0	0	16916	8026	0	3164	0	2621	129	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109_R1.fasta	109	1	14413	0	0	0	15267	17816	0	3071	0	1572	121	0	0	0	0	0	0	0	0	1509	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
