Sample ID	Group (Associated with)	Extraction Batch Id#	Sample Type	Timepoint (weeks)	Genotype	Mouse #	Sex	Endpoint Age (weeks)	Gavage Order	Cage Number	Colon Tumor #	Forward primer	Reverse primer
1	BF+T #1	1-1	stool	1	ApcMin IL10 KO	1	F	24.57	N/A	1	0	F1	R1
2	BF+T #1	1-2	stool	1	ApcMin IL10 KO	5	M	24.57	N/A	2	1	F1	R2
3	BF+T #1	1-3	stool	12	ApcMin IL10 KO	1	F	24.57	N/A	1	0	F1	R3
4	BF-bx	1-4	stool	1	ApcMin	6	F	22	7	1	0	F1	R4
5	BF-bx	1-5	stool	12	ApcMin	7	F	21.57	3	1	0	F1	R5
6	BF+T #2	1-6	stool	1	ApcMin IL10 KO	1	F	23.43	8	1	3	F1	R6
7	BF+T #2	1-7	stool	12	ApcMin IL10 KO	3	M	23.43	4	3	6	F1	R7
8	BF+bx	1-8	stool	1	ApcMin IL10 KO	1	M	22.71	6	2	0	F1	R8
9	BF+bx	1-9	stool	1	ApcMin IL10 KO	2	F	22.71	3	1	N/A	F1	R9
10	BF+bx	1-10	stool	1	ApcMin IL10 KO	6	F	24.57	2	1	7	F1	R10
11	BF+T #3	1-11	stool	1	ApcMin IL10 KO	5	F	32.71	5	2	3	F1	R11
12	BF+T #3	1-12	stool	12	ApcMin IL10 KO	1	F	27.86	1	1	1	F1	R12
13	BF+T #3	1-13	stool	12	ApcMin IL10 KO	4	M	32.71	8	3	6	F1	R13
14	BF+T #3	1-14	stool	12	ApcMin IL10 KO	6	F	32.71	7	2	10	F1	R14
15	BF+T #3	1-15	stool	20	ApcMin IL10 KO	6	F	32.71	7	2	10	F1	R15
16	BF+NF	1-16	stool	1	ApcMin IL10 KO	7	M	24.71	1	1	3	F1	R16
17		1-17	extraction water									F1	R17
18	BF+T #1	2-1	inoculum	0		#1.BF+T #1 inoculum						F2	R1
19	BF+T #1	2-2	stool	12	ApcMin IL10 KO	4	F	24.57	N/A	1	9	F2	R2
